isodate,hospitalizados
2021-09-17,9503
2021-09-18,9041
2021-09-19,8927
2021-09-20,8913
2021-09-21,8745
2021-09-22,8569
2021-09-23,8294
2021-09-24,8026
2021-09-25,7509
2021-09-26,7630
2021-09-27,7617
2021-09-28,7531
2021-09-29,7276
2021-09-30,7007
2021-10-01,6882
2021-10-02,6432
2021-10-03,6375
2021-10-04,6377
2021-10-05,6390
2021-10-06,5996
2021-10-07,5856
2021-10-08,5605
2021-10-09,5251
2021-10-10,5245
2021-10-11,5306
2021-10-12,5279
2021-10-13,5194
2021-10-14,5039
2021-10-15,4870
2021-10-16,4562
2021-10-17,4598
2021-10-18,4659
2021-10-19,4531
2021-10-20,4331
2021-10-21,4149
2021-10-22,4017
2021-10-23,3809
2021-10-24,3840
2021-10-25,3888
2021-10-26,3914
2021-10-27,3711
2021-10-28,3662
2021-10-29,3442
2021-10-30,3327
2021-10-31,3349
2021-11-01,3408
2021-11-02,3291
2021-11-03,3258
2021-11-04,3114
2021-11-05,3012
2021-11-06,2908
2021-11-07,2931
2021-11-08,2952
2021-11-09,2951
2021-11-10,2739
2021-11-11,2880
2021-11-12,2824
2021-11-13,2610
2021-11-14,2687
2021-11-15,2664
2021-11-16,2864
2021-11-17,2806
2021-11-18,2739
2021-11-19,2765
2021-11-20,2554
2021-11-21,2565
2021-11-22,2706
2021-11-23,2679
2021-11-24,2721
2021-11-25,2709
2021-11-26,2697
2021-11-27,2489
2021-11-28,2597
2021-11-29,2737
2021-11-30,2700
2021-12-01,2717
2021-12-02,2614
2021-12-03,2564
2021-12-04,2412
2021-12-05,2352
2021-12-06,2555
2021-12-07,2636
2021-12-08,2636
2021-12-09,2510
2021-12-10,2476
2021-12-11,2282
2021-12-12,2333
2021-12-13,2382
2021-12-14,2515
2021-12-15,2503
2021-12-16,2467
2021-12-17,2401
2021-12-18,2259
2021-12-19,2139
2021-12-20,2279
2021-12-21,2379
2021-12-22,2281
2021-12-23,2265
2021-12-24,2183
2021-12-25,1961
2021-12-26,2083
2021-12-27,2222
2021-12-28,2345
2021-12-29,2287
2021-12-30,2431
2021-12-31,2416
2022-01-01,2117
2022-01-02,2196
2022-01-03,2566
2022-01-04,2646
2022-01-05,2780
2022-01-06,2852
2022-01-07,3021
2022-01-08,2817
2022-01-09,3011
2022-01-10,3567
2022-01-11,3699
2022-01-12,4012
2022-01-13,4230
2022-01-14,4501
2022-01-15,4527
2022-01-16,4727
2022-01-17,5566
2022-01-18,5989
2022-01-19,6306
2022-01-20,6771
2022-01-21,7298
2022-01-22,7084
2022-01-23,7467
2022-01-24,8198
2022-01-25,8674
2022-01-26,8756
2022-01-27,8890
2022-01-28,8935
2022-01-29,8620
2022-01-30,8678
2022-01-31,9088
2022-02-01,8957
2022-02-02,8911
2022-02-03,8692
2022-02-04,8559
2022-02-05,7972
2022-02-06,7674
2022-02-07,7445
2022-02-08,7548
2022-02-09,7411
2022-02-10,6841
2022-02-11,6461
2022-02-12,5498
2022-02-13,5802
2022-02-14,5646
2022-02-15,5423
2022-02-16,5102
2022-02-17,5250
2022-02-18,4869
2022-02-19,4549
2022-02-20,4365
2022-02-21,4219
2022-02-22,3939
2022-02-23,3699
2022-02-24,3417
2022-02-25,3241
2022-02-26,2820
2022-02-27,2902
2022-02-28,2795
2022-03-01,2394
2022-03-02,2496
2022-03-03,2238
2022-03-04,2244
2022-03-05,1997
2022-03-06,1847
2022-03-07,1954
2022-03-08,1881
2022-03-09,1856
2022-03-10,1738
2022-03-11,1518
2022-03-12,1255
2022-03-13,1264
2022-03-14,1392
2022-03-15,1386
2022-03-16,1305
2022-03-17,996
2022-03-18,918
2022-03-19,643
2022-03-20,494
2022-03-21,866
2022-03-22,1036
2022-03-23,979
2022-03-24,841
2022-03-25,919
2022-03-26,709
2022-03-27,687
2022-03-28,741
2022-03-29,772
2022-03-30,766
2022-03-31,752
2022-04-01,758
2022-04-02,574
2022-04-03,594
2022-04-04,735
2022-04-05,734
2022-04-06,743
2022-04-07,570
2022-04-08,530
2022-04-09,524
2022-04-10,484
2022-04-11,497
2022-04-12,496
2022-04-13,460
2022-04-14,555
2022-04-15,412
2022-04-16,406
2022-04-17,423
2022-04-18,539
2022-04-19,516
2022-04-20,499
2022-04-21,388
2022-04-22,487
2022-04-23,319
2022-04-24,323
2022-04-25,480
2022-04-26,365
2022-04-27,485
2022-04-28,467
2022-04-29,460
2022-04-30,303
2022-05-01,295
2022-05-02,330
2022-05-03,299
2022-05-04,303
2022-05-05,280
2022-05-06,270
2022-05-07,254
2022-05-08,258
2022-05-09,287
2022-05-10,284
2022-05-11,422
2022-05-12,283
2022-05-13,291
2022-05-14,255
2022-05-15,240
2022-05-16,282
2022-05-17,308
2022-05-18,271
2022-05-19,269
2022-05-20,257
2022-05-23,262
2022-05-24,266
2022-05-25,245
2022-05-26,250
2022-05-27,238
2022-05-28,208
2022-05-29,231
2022-05-30,259
2022-05-31,254
2022-06-01,264
2022-06-02,255
2022-06-03,257
2022-06-04,248
2022-06-05,261
2022-06-06,290
2022-06-07,292
2022-06-08,288
2022-06-09,306
2022-06-10,315
2022-06-11,291
2022-06-12,305
2022-06-13,341
2022-06-14,375
2022-06-15,364
2022-06-16,409
2022-06-17,409
2022-06-18,396
2022-06-19,390
2022-06-20,426
2022-06-21,447
2022-06-22,448
2022-06-23,480
2022-06-24,485
2022-06-25,464
2022-06-26,497
2022-06-27,580
2022-06-28,668
2022-06-29,712
2022-06-30,780
2022-07-01,842
2022-07-02,858
2022-07-03,938
2022-07-04,1062
2022-07-05,1141
2022-07-06,1260
2022-07-07,1351
2022-07-08,1480
2022-07-09,1459
2022-07-10,1503
2022-07-11,1665
2022-07-12,1683
2022-07-13,1764
2022-07-14,1836
2022-07-15,1885
2022-07-16,1752
2022-07-17,1751
2022-07-18,1897
2022-07-19,1893
2022-07-20,1857
2022-07-21,1852
2022-07-22,1905
2022-07-23,1713
2022-07-24,1755
2022-07-25,1885
2022-07-26,1882
2022-07-27,1782
2022-07-28,1750
2022-07-29,1694
2022-07-30,1563
2022-07-31,1525
2022-08-01,1578
2022-08-02,1552
2022-08-03,1473
2022-08-04,1331
2022-08-05,1308
2022-08-06,1250
2022-08-07,1154
2022-08-08,1207
2022-08-09,1094
2022-08-10,1072
2022-08-11,1029
2022-08-12,897
2022-08-13,851
2022-08-14,786
2022-08-15,896
2022-08-16,796
2022-08-17,767
2022-08-18,730
2022-08-19,658
2022-08-20,617
2022-08-21,589
2022-08-22,647
2022-08-23,603
2022-08-24,531
2022-08-25,412
2022-08-26,413
2022-08-27,276
2022-08-28,466
2022-08-29,470
2022-08-30,464
2022-08-31,424
2022-09-01,412
2022-09-02,412
2022-09-03,368
2022-09-04,354
2022-09-05,369
2022-09-06,383
2022-09-07,361
2022-09-08,342
2022-09-09,345
2022-09-10,318
2022-09-11,326
2022-09-12,332
2022-09-13,324
2022-09-14,305
2022-09-15,303
2022-09-16,251
2022-09-17,251
2022-09-18,251
2022-09-19,280
2022-09-20,258
2022-09-21,278
2022-09-22,229
2022-09-23,225
2022-09-24,252
2022-09-25,245
2022-09-26,263
2022-09-27,256
2022-09-28,255
2022-09-29,245
2022-09-30,226
2022-10-01,200
2022-10-02,196
2022-10-03,232
2022-10-04,244
2022-10-05,224
2022-10-06,223
2022-10-07,196
2022-10-08,196
2022-10-09,170
2022-10-10,202
2022-10-12,200
2022-10-13,182
2022-10-14,201
2022-10-15,172
2022-10-16,165
2022-10-17,212
2022-10-18,196
2022-10-19,210
2022-10-20,203
2022-10-21,181
2022-10-22,191
2022-10-23,168
2022-10-24,189
2022-10-25,207
2022-10-26,195
2022-10-27,200
2022-10-28,189
2022-10-29,192
2022-10-30,197
2022-10-31,209
2022-11-01,216
2022-11-02,184
2022-11-03,199
2022-11-04,182
2022-11-05,212
2022-11-06,85
2022-11-07,241
2022-11-08,224
2022-11-09,195
2022-11-10,191
2022-11-11,188
2022-11-12,199
2022-11-13,208
2022-11-14,249
2022-11-15,266
2022-11-16,232
2022-11-17,219
2022-11-18,227
2022-11-19,207
2022-11-20,207
2022-11-21,232
2022-11-22,226
2022-11-23,240
2022-11-24,239
2022-11-25,246
2022-11-26,221
2022-11-27,277
2022-11-28,287
2022-11-29,309
2022-11-30,322
2022-12-01,321
2022-12-02,336
2022-12-03,302
2022-12-04,325
2022-12-05,373
2022-12-06,377
2022-12-07,346
2022-12-08,366
2022-12-09,358
2022-12-10,336
2022-12-11,335
2022-12-12,356
2022-12-13,422
2022-12-14,428
2022-12-15,441
2022-12-16,447
2022-12-17,415
2022-12-18,437
2022-12-19,495
2022-12-20,509
2022-12-21,519
2022-12-22,523
2022-12-23,532
2022-12-24,511
2022-12-25,509
2022-12-26,572
2022-12-27,647
2022-12-28,670
2022-12-29,763
2022-12-30,766
2022-12-31,688
2023-01-01,694
2023-01-02,738
2023-01-03,755
2023-01-04,759
2023-01-05,788
2023-01-06,749
2023-01-07,730
2023-01-08,765
2023-01-09,786
2023-01-10,812
2023-01-11,784
2023-01-12,776
2023-01-13,731
2023-01-14,712
2023-01-15,685
2023-01-16,727
2023-01-17,698
2023-01-18,673
2023-01-19,618
2023-01-20,664
2023-01-21,636
2023-01-22,618
2023-01-23,635
2023-01-24,642
2023-01-25,598
2023-01-26,572
2023-01-27,559
2023-01-28,538
2023-01-29,557
